id,shop_id,author,text,rating,date,source,created_at
11,2,"31-Lê Ngọc Thanh Tâm
8 bài đánh giá · 3 ảnh






2 tháng trước
Mình vừa có trải nghiệm rất hài lòng tại PNJ. Sản phẩm đẹp, chất lượng và giá cả minh bạch. Đặc biệt, chị Ái Phương đã hỗ trợ mình khảo giá cực kỳ nhiệt tình và chi tiết, giúp mình chọn được sản phẩm phù hợp nhất. Thái độ tư vấn dễ thương, chu đáo và rất chuyên nghiệp. Nhờ vậy mà mình cảm thấy yên tâm và thoải mái khi mua sắm tại PNJ. Rất cảm ơn PNJ và chị Phương✨😍

Thích

Chia sẻ
Thông tin phản hồi từ chủ sở hữu 2 tháng trước
Cảm ơn Quý khách đã đồng hành và yêu thương, hy vọng Cửa hàng sẽ được phục vụ Quý khách trong thời gian tới.",2 tháng trước,5.0,2 tháng trước,google_maps,2026-03-14 07:12:00
12,2,"Nhi Yến
4 bài đánh giá · 8 ảnh






3 tháng trước
Mình vừa có trải nghiệm rất hài lòng tại PNJ. Sản phẩm đẹp, chất lượng và giá cả minh bạch. Đặc biệt, chị Yến đã hỗ trợ mình khảo giá cực kỳ nhiệt tình và chi tiết, giúp mình chọn được sản phẩm phù hợp nhất. Thái độ tư vấn dễ thương, chu đáo và rất chuyên nghiệp. Nhờ vậy mà mình cảm thấy yên tâm và thoải mái khi mua sắm tại PNJ. Rất cảm ơn PNJ và chị Yến! 💛✨

Thích

Chia sẻ
Thông tin phản hồi từ chủ sở hữu 2 tháng trước
Cảm ơn Quý khách đã đồng hành và yêu thương, hy vọng Cửa hàng sẽ được phục vụ Quý khách trong thời gian tới.",3 tháng trước,5.0,3 tháng trước,google_maps,2026-03-14 07:12:00
13,3,"Hoaitrang Ton
2 bài đánh giá






một tháng trước
Đã bán và mua hàng ở đây, nhân viên thân thiện. Bạn Vy siêu dễ thương, check tn tư vấn hỗ trợ mình rất nhiệt tình

Thích

Chia sẻ",một tháng trước,5.0,một tháng trước,google_maps,2026-03-14 07:12:10
14,3,"BÌNH LÊ
2 bài đánh giá






3 tháng trước
Nhân viên vui vẻ, cửa hàng sạch đẹp..được bé nhân viên tên Vy lúc nào cùn nhiệt tình mặc dù có lúc mình vẫn tới nhưng không mua

Thích

Chia sẻ",3 tháng trước,5.0,3 tháng trước,google_maps,2026-03-14 07:12:10
15,4,"Sami N
Local Guide · 113 bài đánh giá · 694 ảnh






2 tuần trước
MỚI
Cửa hàng trang sức Doji khang trang, sang trọng & sáng đẹp lại nằm ở khu vực trung tâm nên thuận tiện đi lại và mua sắm.
Nhân viên thân thiện, nhiệt tình
Đồ trang sức nhiều mẫu mã đẹp lắm ạ!
Lúc mình mua ko có hàng sẵn là cửa hàng hỗ trợ bay ship hàng về gấp để kịp cho mình luôn nè!
Hy vọng Doji sẽ ngày càng phát triển, thiết kế ra nhiều mẫu đẹp mọi người đến tham quan & mua sắm nha!
+6 mục khác

Thích

Chia sẻ",2 tuần trước,5.0,2 tuần trước,google_maps,2026-03-14 07:12:21
16,5,"Anh Le
Local Guide · 21 bài đánh giá · 7 ảnh






5 tháng trước
Ổn, mình đến mua bán khá nhanh gọn

Thích

Chia sẻ",5 tháng trước,5.0,5 tháng trước,google_maps,2026-03-14 07:12:32
17,5,"Cone tong
4 bài đánh giá · 3 ảnh






một năm trước
Nhân viên quá tệ thái độ như xua đuổi  nạt nộ và khinh thường khách hàng , nhất là nhân viên đứng quầy bán hàng ngày 6Aug  lúc 16:00-17:00

2

Chia sẻ",một năm trước,1.0,một năm trước,google_maps,2026-03-14 07:12:32
18,6,"Hương Trần thị thanh
3 bài đánh giá · 2 ảnh






một tháng trước
Một địa chỉ mình recommend cho mn ạ. Giao dịch nhanh chóng, cô chủ buôn bán cũng rất dễ thương, luôn thuận theo ý khách. Mẫu mã đẹp đa dạng, không bị đại trà, trend cập nhật liên tục. Mình mua ở đây cũng nhiều lần rồi. Xứng đáng đồng tiền bát gạo. Tiền nào của nấy. Tiền nào của nấy. Cái gì quan trọng mình nhắc lại 2 lần nha mn. Thấy mn truyền miệng nhau bảo giá cao các kiểu nhưng trên phương diện cá nhân mình thấy bỏ tiền ra sở hữu hàng rin nước 1 vẫn đẳng cấp hơn so với chi li tính toán tiền rẻ để vớ phải hàng đã qua sử dụng nhiều lần nhé. Thank you.  Chúc shop mua may bán đắt ạ.

Thích

Chia sẻ",một tháng trước,5.0,một tháng trước,google_maps,2026-03-14 07:12:42
19,7,"Bảnh Lỏỏ
1 bài đánh giá






5 tháng trước
Các bạn nhân viên tư vấn rất dễ thương và chu đáo. Thanh toán chuyển khoản nhanh gọn lẹ. Tiệm về nhiều mẫu mã trendy và là địa chỉ tin cậy của bản thân trong 10 năm qua. 👍 …

Thích

Chia sẻ",5 tháng trước,5.0,5 tháng trước,google_maps,2026-03-14 07:12:52
20,7,"Hải Dương Nguyễn
2 bài đánh giá






2 tháng trước
Rất ưng ý với sản phẩm tại Phúc Huy. Nhân viên tư vấn dễ chịu và giúp mình chọn được món đồ đẹp

Thích

Chia sẻ",2 tháng trước,5.0,2 tháng trước,google_maps,2026-03-14 07:12:52
21,8,"To Nhung Nguyen Thi
Local Guide · 73 bài đánh giá · 214 ảnh






một tháng trước
Chuyên nghiệp, thân thiện và hiếu khách. Mình mua, hàng chưa về nhưng cần tiền xử lý cv, đến 12h trưa, cửa hàng kéo cửa lại nghỉ nhưng có nhân viên trực bên trong, mình vào xử lý cho mình nhanh gọn lẹ, 10 điểm. Sẽ tiếp tục mua và giới thiệu bạn bè. Vì không có hàng nên mình lấy hình khác bỏ vào.
+2 mục khác

Thích

Chia sẻ",một tháng trước,5.0,một tháng trước,google_maps,2026-03-14 07:13:03
22,8,"hanna
1 bài đánh giá · 1 ảnh






2 tháng trước
Uy tín,nhanh,đang tin cậy,e mua hẹn 3 tháng mà 2 tháng đã gọi ra nhận

Thích

Chia sẻ",2 tháng trước,5.0,2 tháng trước,google_maps,2026-03-14 07:13:03
23,8,"MAI LOAN
4 bài đánh giá · 3 ảnh






6 tháng trước
Mình mua hàng bên này thấy nhân viên tư vấn nhiệt tình, hàng chuẩn Phú Quý. Mn mua hàng yên tâm nhé

Thích

Chia sẻ",6 tháng trước,5.0,6 tháng trước,google_maps,2026-03-14 07:13:03
24,9,"Than Thuyet
Local Guide · 316 bài đánh giá · 10.260 ảnh






4 năm trước
Hiệu vàng ngay cửa ngõ vào chợ Thanh Khê. Giá mua bào bán ra hơi cứng.

1

Chia sẻ",4 năm trước,4.0,4 năm trước,google_maps,2026-03-14 07:13:13
25,9,"Phương Huỳnh
2 ảnh






7 tháng trước",7 tháng trước,5.0,7 tháng trước,google_maps,2026-03-14 07:13:13
26,9,"Hoàng Nguyên






3 năm trước",3 năm trước,5.0,3 năm trước,google_maps,2026-03-14 07:13:13
27,10,"Thị Mỵ Tăng
3 bài đánh giá · 5 ảnh






một năm trước
Nhân viên nhiệt tình,tư vấn sản phẩm chuyên nghiệp, giá cả hợp lí, chính sách bảo hành rõ ràng nhiều ưu đãi dành cho khách hàng

Thích

Chia sẻ",một năm trước,5.0,một năm trước,google_maps,2026-03-14 07:13:23
28,10,"Huy Trần
2 bài đánh giá






6 tháng trước
Nhân viên nhiệt tình, chế độ bảo hành sửa chữa tốt đặc biệt giao hàng nhanh chóng

Thích

Chia sẻ",6 tháng trước,5.0,6 tháng trước,google_maps,2026-03-14 07:13:23
29,11,"Hoàng Anh
5 bài đánh giá · 1 ảnh






9 tháng trước
Trải nghiệm thực sự tồi tệ. Dân đn đây mới mua 2 sợi dây bạc 1 triệu 300 mà đc 3 ngày về đen thui. Trong khi cam kết này kia ko đen, nếu đen rửa xà phòng sẽ trắng. Tui ngâm rửa xà phòng nguyên ngày vẫn đen thui. Lên trả lại hỏi thì kêu bán lại trả lui 400k, tui chửi to tiếng làm căng thì trả lại thêm 300k. Bộ mấy người dễ ăn tiền của người khác quá. Lừa đảo thái độ mất dạy lồi lõm. Tui mua ở tiệm khác sợi như vậy ko hề bị đen. Ai mà đến đây mua thì nên cẩn thận kẻo tiền mất rước thêm cục tức. Nếu đánh giá 1 sao tui cũng ko cho

Thích

Chia sẻ",9 tháng trước,1.0,9 tháng trước,google_maps,2026-03-14 07:13:33
30,11,"Phuong Nguyễn Thị my
2 bài đánh giá · 1 ảnh






5 tháng trước
good. Mẫu mã đẹp. Nhân viên tư vấn nhiệt tình

Thích

Chia sẻ",5 tháng trước,5.0,5 tháng trước,google_maps,2026-03-14 07:13:33
31,12,"Duy Sơn
2 bài đánh giá · 1 ảnh






một tuần trước
MỚI
Nhân viên tư vấn thái độ nhiệt tình, niềm nở, tiếp tục ghé cửa hàng mua ủng hộ

Thích

Chia sẻ
Thông tin phản hồi từ chủ sở hữu một tuần trước
PNJ Nguyễn Hữu Thọ cảm ơn quý khách hàng đã đánh giá và góp ý cho cửa hàng. Hi vọng sẽ tiếp tục được phục vụ quý khách trong những lần sắp tới. Cảm ơn quý khách!",một tuần trước,5.0,một tuần trước,google_maps,2026-03-14 07:13:43
32,12,"Nam Nguyen
2 bài đánh giá






6 ngày trước
MỚI
chất lượng sản phẩm kiểm định rõ ràng, mẫu mã đa dạng và chính sách bảo hành/thu đổi rất tốt. Dịch vụ chăm sóc khách hàng tốt , tận tâm , rất ấn tượng với thái độ phục vụ nhiệt tình và chu đáo của bạn nhân viên Trần Thị Tuyết Sương

Thích

Chia sẻ
Thông tin phản hồi từ chủ sở hữu 19 giờ trước
PNJ Nguyễn Hữu Thọ cảm ơn quý khách hàng đã đánh giá và góp ý cho cửa hàng. Hi vọng sẽ tiếp tục được phục vụ quý khách trong những lần sắp tới. Cảm ơn quý khách!",6 ngày trước,5.0,6 ngày trước,google_maps,2026-03-14 07:13:43
33,12,"NGUYỄN HỒNG LINH
15 bài đánh giá · 5 ảnh






4 tháng trước
Nhân viên nhiệt tình, mẫu mã đa dạng, hàng hoá chất lượng

Thích

Chia sẻ
Thông tin phản hồi từ chủ sở hữu 3 tháng trước
PNJ Nguyễn Hữu Thọ cảm ơn quý khách hàng đã đánh giá và góp ý cho cửa hàng. Hi vọng sẽ tiếp tục được phục vụ quý khách trong những lần sắp tới. Cảm ơn quý khách!",4 tháng trước,5.0,4 tháng trước,google_maps,2026-03-14 07:13:43
34,13,"Thị Lợi Nguyễn
11 bài đánh giá · 7 ảnh






2 tháng trước
Đi mua vàng mà tưởng đâu đi xin không á shop, nhân viên coi thường khách, thái độ quá tệ, chờ 20p kêu tới kêu lui nhân viên làm lơ, không nói 1 lời, không tư vấn,  đến lúc mua xong k 1 lời chào khách hay cảm ơn, trả tiền xong tự lấy đồ phải kêu hỏi lại xong chưa nhận lại dc cái gật đầu với khuôn mặt khó chịu

3

Chia sẻ",2 tháng trước,1.0,2 tháng trước,google_maps,2026-03-14 07:13:54
35,13,"Tuan Nguyen
Local Guide · 52 bài đánh giá · 54 ảnh






một tháng trước
Ngọc thịnh thì nổi tiếng rồi, khách đông quá nên nhân viên chắc đuối, tiếp khách mua hơi quạo. Nhưng k sao, vàng lên là đượccccc

Thích

Chia sẻ",một tháng trước,4.0,một tháng trước,google_maps,2026-03-14 07:13:54
36,14,"Ngọc Anh Phạm
1 bài đánh giá · 1 ảnh






2 tháng trước
Các bạn ở đây tư vấn cực nhiệt tình, xe KIMLONG thì đẹp khỏi bàn rồi. Showroom lớn và rộng lắm nha mọi người

Thích

Chia sẻ",2 tháng trước,5.0,2 tháng trước,google_maps,2026-03-14 07:14:04
37,14,"Văn Hiếu
2 bài đánh giá · 2 ảnh






3 tháng trước
Uy tín , chất lượng chính hãng
Hài lòng 100%

Thích

Chia sẻ",3 tháng trước,5.0,3 tháng trước,google_maps,2026-03-14 07:14:04
38,15,"Nguyễn Nguyễn
Local Guide · 29 bài đánh giá · 26 ảnh






một tháng trước
Shop bán đồ đẹp, sản phẩm chất lượng và giá cả hợp lý. Chị chủ dễ thương nhiệt tình ❤️

Thích

Chia sẻ",một tháng trước,5.0,một tháng trước,google_maps,2026-03-14 07:14:14
39,15,"Mai Tố
2 bài đánh giá · 2 ảnh






5 tháng trước
Mua đi mua lại ở đây nhiều lần rồi. Trang sức bạc đúng chuẩn mang bao năm mà vẫn còn sáng bóng, không bị si đen. Mẫu mã đa dạng, xinh xinh. Cô chủ dễ thương và nhiệt tình. Mn có nhu cầu nên ghé mua 1 lần, đảm bảo sẽ thích đến mua nhiều lần nữa

Thích

Chia sẻ",5 tháng trước,5.0,5 tháng trước,google_maps,2026-03-14 07:14:14
40,16,"Thị Lợi Nguyễn
11 bài đánh giá · 7 ảnh






2 tháng trước
Đi mua vàng mà tưởng đâu đi xin không á shop, nhân viên coi thường khách, thái độ quá tệ, chờ 20p kêu tới kêu lui nhân viên làm lơ, không nói 1 lời, không tư vấn,  đến lúc mua xong k 1 lời chào khách hay cảm ơn, trả tiền xong tự lấy đồ phải kêu hỏi lại xong chưa nhận lại dc cái gật đầu với khuôn mặt khó chịu

3

Chia sẻ","Đi mua vàng mà tưởng đâu đi xin không á shop, nhân viên coi thường khách, thái độ quá tệ, chờ 20p kêu tới kêu lui nhân viên làm lơ, không nói 1 lời, không tư vấn,  đến lúc mua xong k 1 lời chào khách hay cảm ơn, trả tiền xong tự lấy đồ phải kêu hỏi lại xong chưa nhận lại dc cái gật đầu với khuôn mặt khó chịu",1.0,2 tháng trước,google_maps,2026-03-14 08:34:24
41,16,"Thị Lợi Nguyễn
11 bài đánh giá · 7 ảnh






2 tháng trước
Đi mua vàng mà tưởng đâu đi xin không á shop, nhân viên coi thường khách, thái độ quá tệ, chờ 20p kêu tới kêu lui nhân viên làm lơ, không nói 1 lời, không tư vấn,  đến lúc mua xong k 1 lời chào khách hay cảm ơn, trả tiền xong tự lấy đồ phải kêu hỏi lại xong chưa nhận lại dc cái gật đầu với khuôn mặt khó chịu

3

Chia sẻ","Đi mua vàng mà tưởng đâu đi xin không á shop, nhân viên coi thường khách, thái độ quá tệ, chờ 20p kêu tới kêu lui nhân viên làm lơ, không nói 1 lời, không tư vấn,  đến lúc mua xong k 1 lời chào khách hay cảm ơn, trả tiền xong tự lấy đồ phải kêu hỏi lại xong chưa nhận lại dc cái gật đầu với khuôn mặt khó chịu",1.0,2 tháng trước,google_maps,2026-03-14 08:34:24
42,16,"Tuan Nguyen
Local Guide · 52 bài đánh giá · 54 ảnh






một tháng trước
Ngọc thịnh thì nổi tiếng rồi, khách đông quá nên nhân viên chắc đuối, tiếp khách mua hơi quạo. Nhưng k sao, vàng lên là đượccccc

Thích

Chia sẻ","Ngọc thịnh thì nổi tiếng rồi, khách đông quá nên nhân viên chắc đuối, tiếp khách mua hơi quạo. Nhưng k sao, vàng lên là đượccccc",4.0,một tháng trước,google_maps,2026-03-14 08:34:24
43,16,"Tuan Nguyen
Local Guide · 52 bài đánh giá · 54 ảnh






một tháng trước
Ngọc thịnh thì nổi tiếng rồi, khách đông quá nên nhân viên chắc đuối, tiếp khách mua hơi quạo. Nhưng k sao, vàng lên là đượccccc

Thích

Chia sẻ","Ngọc thịnh thì nổi tiếng rồi, khách đông quá nên nhân viên chắc đuối, tiếp khách mua hơi quạo. Nhưng k sao, vàng lên là đượccccc",4.0,một tháng trước,google_maps,2026-03-14 08:34:24
44,16,"Na Ha
Local Guide · 28 bài đánh giá · 344 ảnh






2 tháng trước
E hỏi thiệt nha, bộ chủ đào tạo nhân viên thái độ khinh thường khách hả mn, chục người như 1, lớn trẻ đều có, 1 văn hoá duy nhất, khinh thường khách k có tiền hay sao

1

Chia sẻ","E hỏi thiệt nha, bộ chủ đào tạo nhân viên thái độ khinh thường khách hả mn, chục người như 1, lớn trẻ đều có, 1 văn hoá duy nhất, khinh thường khách k có tiền hay sao",1.0,2 tháng trước,google_maps,2026-03-14 08:34:24
45,17,"Fern Nuyn
Local Guide · 10 bài đánh giá · 12 ảnh






4 tháng trước
Mình đến nối vòng tại Caraluna và hoàn toàn ưng ý. Nhân viên siêu nhiệt tình, tư vấn chuyên nghiệp.
Chiếc vòng tôi chọn rất tinh tế và nhẹ nhàng, đeo lên tay cực kỳ thoải mái. Quá trình hàn vòng nhanh, gọn, không đau.
Đây là một trải nghiệm đáng giá và ý nghĩa. Rất recommend!

Thích

Chia sẻ","Mình đến nối vòng tại Caraluna và hoàn toàn ưng ý. Nhân viên siêu nhiệt tình, tư vấn chuyên nghiệp.
Chiếc vòng tôi chọn rất tinh tế và nhẹ nhàng, đeo lên tay cực kỳ thoải mái. Quá trình hàn vòng nhanh, gọn, không đau.
Đây là một trải nghiệm đáng giá và ý nghĩa. Rất recommend!",5.0,4 tháng trước,google_maps,2026-03-14 08:34:28
46,17,"Fern Nuyn
Local Guide · 10 bài đánh giá · 12 ảnh






4 tháng trước
Mình đến nối vòng tại Caraluna và hoàn toàn ưng ý. Nhân viên siêu nhiệt tình, tư vấn chuyên nghiệp.
Chiếc vòng tôi chọn rất tinh tế và nhẹ nhàng, đeo lên tay cực kỳ thoải mái. Quá trình hàn vòng nhanh, gọn, không đau.
Đây là một trải nghiệm đáng giá và ý nghĩa. Rất recommend!

Thích

Chia sẻ","Mình đến nối vòng tại Caraluna và hoàn toàn ưng ý. Nhân viên siêu nhiệt tình, tư vấn chuyên nghiệp.
Chiếc vòng tôi chọn rất tinh tế và nhẹ nhàng, đeo lên tay cực kỳ thoải mái. Quá trình hàn vòng nhanh, gọn, không đau.
Đây là một trải nghiệm đáng giá và ý nghĩa. Rất recommend!",5.0,4 tháng trước,google_maps,2026-03-14 08:34:28
47,17,"Huyền Trang
6 bài đánh giá · 4 ảnh






7 tháng trước
Mình mua 3 lắc tay bên này, cả 3 màu vàng, bạc, hồng. Mua chưa được 1 tháng, 2 dây vàng và hồng còn chưa sử dụng, dây bạc đeo được 2 ngày nhưng đã bị đen theo kiểu oxi hoá chứ không phải xuống màu. Trong khi trc đó tư vấn cho mình là bạc nguyên khối sẽ không bị đen, nhưng bạc nguyên khối thì làm sao bị oxi hoá được nhỉ? Còn vàng và hồng thì oxi hoá thấy rõ luôn, bạn gọi quản lí hỏi thì trả lời là do để bên ngoài ko sử dụng nên để trong hộp bị ẩm và bị oxi hoá, mình có nói trong hộp có túi hút ẩm nhưng bạn kêu không xi nhê gì đâu chị 🙂‍↕️ trong khi mình mới mua được 12 ngày .  Trang sức bên này giá cũng cao nhưng chất lượng không tương xứng. Và trước khi mua mình cũng đã nhắn tin hỏi web về giá mua tại cửa hàng, web báo theo giá KM là 890k nhưng đến mua thì lúc thanh toán là 1200k, mình phải nói nhân viên thì bạn mới giảm xuống còn 890k? Còn chương trình khuyến mãi thì nhân viên không biết, mình nói thì bạn gọi điện quản lý hỏi. Lần đầu trải nghiệm mà quá tồi tệ
0:02

Thích

Chia sẻ","Mình mua 3 lắc tay bên này, cả 3 màu vàng, bạc, hồng. Mua chưa được 1 tháng, 2 dây vàng và hồng còn chưa sử dụng, dây bạc đeo được 2 ngày nhưng đã bị đen theo kiểu oxi hoá chứ không phải xuống màu. Trong khi trc đó tư vấn cho mình là bạc nguyên khối sẽ không bị đen, nhưng bạc nguyên khối thì làm sao bị oxi hoá được nhỉ? Còn vàng và hồng thì oxi hoá thấy rõ luôn, bạn gọi quản lí hỏi thì trả lời là do để bên ngoài ko sử dụng nên để trong hộp bị ẩm và bị oxi hoá, mình có nói trong hộp có túi hút ẩm nhưng bạn kêu không xi nhê gì đâu chị 🙂‍↕️ trong khi mình mới mua được 12 ngày .  Trang sức bên này giá cũng cao nhưng chất lượng không tương xứng. Và trước khi mua mình cũng đã nhắn tin hỏi web về giá mua tại cửa hàng, web báo theo giá KM là 890k nhưng đến mua thì lúc thanh toán là 1200k, mình phải nói nhân viên thì bạn mới giảm xuống còn 890k? Còn chương trình khuyến mãi thì nhân viên không biết, mình nói thì bạn gọi điện quản lý hỏi. Lần đầu trải nghiệm mà quá tồi tệ",1.0,7 tháng trước,google_maps,2026-03-14 08:34:28
48,17,"Huyền Trang
6 bài đánh giá · 4 ảnh






7 tháng trước
Mình mua 3 lắc tay bên này, cả 3 màu vàng, bạc, hồng. Mua chưa được 1 tháng, 2 dây vàng và hồng còn chưa sử dụng, dây bạc đeo được 2 ngày nhưng đã bị đen theo kiểu oxi hoá chứ không phải xuống màu. Trong khi trc đó tư vấn cho mình là bạc nguyên khối sẽ không bị đen, nhưng bạc nguyên khối thì làm sao bị oxi hoá được nhỉ? Còn vàng và hồng thì oxi hoá thấy rõ luôn, bạn gọi quản lí hỏi thì trả lời là do để bên ngoài ko sử dụng nên để trong hộp bị ẩm và bị oxi hoá, mình có nói trong hộp có túi hút ẩm nhưng bạn kêu không xi nhê gì đâu chị 🙂‍↕️ trong khi mình mới mua được 12 ngày .  Trang sức bên này giá cũng cao nhưng chất lượng không tương xứng. Và trước khi mua mình cũng đã nhắn tin hỏi web về giá mua tại cửa hàng, web báo theo giá KM là 890k nhưng đến mua thì lúc thanh toán là 1200k, mình phải nói nhân viên thì bạn mới giảm xuống còn 890k? Còn chương trình khuyến mãi thì nhân viên không biết, mình nói thì bạn gọi điện quản lý hỏi. Lần đầu trải nghiệm mà quá tồi tệ
0:02

Thích

Chia sẻ","Mình mua 3 lắc tay bên này, cả 3 màu vàng, bạc, hồng. Mua chưa được 1 tháng, 2 dây vàng và hồng còn chưa sử dụng, dây bạc đeo được 2 ngày nhưng đã bị đen theo kiểu oxi hoá chứ không phải xuống màu. Trong khi trc đó tư vấn cho mình là bạc nguyên khối sẽ không bị đen, nhưng bạc nguyên khối thì làm sao bị oxi hoá được nhỉ? Còn vàng và hồng thì oxi hoá thấy rõ luôn, bạn gọi quản lí hỏi thì trả lời là do để bên ngoài ko sử dụng nên để trong hộp bị ẩm và bị oxi hoá, mình có nói trong hộp có túi hút ẩm nhưng bạn kêu không xi nhê gì đâu chị 🙂‍↕️ trong khi mình mới mua được 12 ngày .  Trang sức bên này giá cũng cao nhưng chất lượng không tương xứng. Và trước khi mua mình cũng đã nhắn tin hỏi web về giá mua tại cửa hàng, web báo theo giá KM là 890k nhưng đến mua thì lúc thanh toán là 1200k, mình phải nói nhân viên thì bạn mới giảm xuống còn 890k? Còn chương trình khuyến mãi thì nhân viên không biết, mình nói thì bạn gọi điện quản lý hỏi. Lần đầu trải nghiệm mà quá tồi tệ",1.0,7 tháng trước,google_maps,2026-03-14 08:34:28
49,17,"Nguyễn Ngọc Vân Anh
4 bài đánh giá · 3 ảnh






6 tháng trước
Nhân viên nhiệt tình trang sức rất xinh hợp đeo hàng ngày mình đặt lịch đi làm vòng vĩnh viễn nhân viên tư vấn chu đáo

Thích

Chia sẻ",Nhân viên nhiệt tình trang sức rất xinh hợp đeo hàng ngày mình đặt lịch đi làm vòng vĩnh viễn nhân viên tư vấn chu đáo,5.0,6 tháng trước,google_maps,2026-03-14 08:34:28
