id,name,address,district,lat,lng,phone,hours,rating,review_count,website,google_maps_url,source,is_verified,created_at
11,Tiệm Vàng Thanh Bình,"67 Lê Duẩn, Hải Châu, Đà Nẵng",Hải Châu,16.0645,108.2134,0236 3811 xxx,07:30 - 20:30,4.1,41,http://hiepthinhjewelry.com/?utm_source=gmb&utm_medium=referral,"https://www.google.com/maps/place/DNTN+Hi%E1%BB%87u+v%C3%A0ng+Hiep+Thanh/@16.0742881,108.2178327,16z/data=!4m10!1m2!2m1!1zVGnhu4dtIFbDoG5nIFRoYW5oIELDrG5oIDY3IEzDqiBEdeG6qW4sIEjhuqNpIENow6J1LCDEkMOgIE7hurVuZyDEkMOgIE7hurVuZw!3m6!1s0x314218323f93ab81:0xde58a2385aee19be!8m2!3d16.0678629!4d108.2241653!15sCkxUaeG7h20gVsOgbmcgVGhhbmggQsOsbmggNjcgTMOqIER14bqpbiwgSOG6o2kgQ2jDonUsIMSQw6AgTuG6tW5nIMSQw6AgTuG6tW5nWkwiSnRp4buHbSB2w6BuZyB0aGFuaCBiw6xuaCA2NyBsw6ogZHXhuqluIGjhuqNpIGNow6J1IMSRw6AgbuG6tW5nIMSRw6AgbuG6tW5nkgENamV3ZWxyeV9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUGIySlhTM0pCUlJBQuABAPoBBAgUEBk!16s%2Fg%2F1tdk_0yc?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",manual,True,2026-03-14 05:14:09
12,PNJ Ngũ Hành Sơn,"234 Trường Sa, Ngũ Hành Sơn, Đà Nẵng",Ngũ Hành Sơn,16.0023,108.2601,1800 1626,08:00 - 21:00,4.9,49,https://www.pnj.com.vn,"https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+Trang+S%E1%BB%A9c+PNJ+347+Nguy%E1%BB%85n+H%E1%BB%AFu+Th%E1%BB%8D+-+%C4%90%C3%A0+N%E1%BA%B5ng/@16.0370689,108.138173,13z/data=!4m10!1m2!2m1!1zUE5KIE5nxakgSMOgbmggU8ahbiAyMzQgVHLGsOG7nW5nIFNhLCBOZ8WpIEjDoG5oIFPGoW4sIMSQw6AgTuG6tW5nIMSQw6AgTuG6tW5n!3m6!1s0x3142190c129188df:0xa9265ec6cf487b53!8m2!3d16.0370689!4d108.2102708!15sCk5QTkogTmfFqSBIw6BuaCBTxqFuIDIzNCBUcsaw4budbmcgU2EsIE5nxakgSMOgbmggU8ahbiwgxJDDoCBO4bq1bmcgxJDDoCBO4bq1bmdaTiJMcG5qIG5nxakgaMOgbmggc8ahbiAyMzQgdHLGsOG7nW5nIHNhIG5nxakgaMOgbmggc8ahbiDEkcOgIG7hurVuZyDEkcOgIG7hurVuZ5IBDWpld2Vscnlfc3RvcmXgAQA!16s%2Fg%2F11tx717vnd?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",official,True,2026-03-14 05:14:09
13,Tiệm Vàng Đức Thịnh,"15 Hoàng Diệu, Hải Châu, Đà Nẵng",Hải Châu,16.0558,108.2078,0905 xxx xxx,08:00 - 19:00,3.8,38,https://ngocthinh-jewelry.vn/,"https://www.google.com/maps/place/Ng%E1%BB%8Dc+Th%E1%BB%8Bnh+Jewelry/@16.0521354,103.6031587,7z/data=!4m10!1m2!2m1!1zVGnhu4dtIFbDoG5nIMSQ4bupYyBUaOG7i25oIDE1IEhvw6BuZyBEaeG7h3UsIEjhuqNpIENow6J1LCDEkMOgIE7hurVuZyDEkMOgIE7hurVuZw!3m6!1s0x3142194bb1a9c351:0x81a086532c0f3022!8m2!3d16.0521354!4d108.2174165!15sClJUaeG7h20gVsOgbmcgxJDhu6ljIFRo4buLbmggMTUgSG_DoG5nIERp4buHdSwgSOG6o2kgQ2jDonUsIMSQw6AgTuG6tW5nIMSQw6AgTuG6tW5nWlIiUHRp4buHbSB2w6BuZyDEkeG7qWMgdGjhu4tuaCAxNSBob8OgbmcgZGnhu4d1IGjhuqNpIGNow6J1IMSRw6AgbuG6tW5nIMSRw6AgbuG6tW5nkgENamV3ZWxyeV9zdG9yZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMVdSMkV5VGpOVGFrWm1VekZTYjJKV1VreGFSV3d4V0RGck5GWklZeEFC4AEA-gEECAAQOw!16s%2Fg%2F11nfzkxftn?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",manual,False,2026-03-14 05:14:09
14,Tiệm Vàng Kim Long,"45 Lý Thường Kiệt, Hải Châu, Đà Nẵng",Hải Châu,16.0567,108.2055,0236 3831 xxx,07:30 - 20:00,5.0,50,https://kimlongdanang.vn/,"https://www.google.com/maps/place/Kim+Long+Motor+-+Trung+t%C3%A2m+%C3%94+t%C3%B4+%26+Bus+%C4%90%C3%A0+N%E1%BA%B5ng/@15.9890218,108.125665,13z/data=!4m10!1m2!2m1!1zVGnhu4dtIFbDoG5nIEtpbSBMb25nIDQ1IEzDvSBUaMaw4budbmcgS2nhu4d0LCBI4bqjaSBDaMOidSwgxJDDoCBO4bq1bmcgxJDDoCBO4bq1bmc!3m6!1s0x31421b190793443f:0x70842d427a1dfae!8m2!3d15.9890218!4d108.1977628!15sClNUaeG7h20gVsOgbmcgS2ltIExvbmcgNDUgTMO9IFRoxrDhu51uZyBLaeG7h3QsIEjhuqNpIENow6J1LCDEkMOgIE7hurVuZyDEkMOgIE7hurVuZ1pTIlF0aeG7h20gdsOgbmcga2ltIGxvbmcgNDUgbMO9IHRoxrDhu51uZyBraeG7h3QgaOG6o2kgY2jDonUgxJHDoCBu4bq1bmcgxJHDoCBu4bq1bmeSAQpjYXJfZGVhbGVymgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ4b00xRXpTa1pVUkZKU1YxVlpNRlZWU25CT1YxRjBVbGQwU0ZGdVl4QULgAQD6AQQIABA1!16s%2Fg%2F11xv_vh734?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",manual,False,2026-03-14 05:14:09
15,Tiệm Vàng Ánh Kim,"90 Núi Thành, Hải Châu, Đà Nẵng",Hải Châu,16.0432,108.2212,0905 xxx xxx,08:00 - 18:30,4.9,49,,"https://www.google.com/maps/place/Ti%E1%BB%87m+B%E1%BA%A1c+%C3%81nh+Kim/@16.0598414,108.1910182,14z/data=!4m10!1m2!2m1!1zVGnhu4dtIFbDoG5nIMOBbmggS2ltIDkwIE7DumkgVGjDoG5oLCBI4bqjaSBDaMOidSwgxJDDoCBO4bq1bmcgxJDDoCBO4bq1bmc!3m6!1s0x314219c7ca7e601d:0x2a7e287bc54601dd!8m2!3d16.0517487!4d108.2169257!15sCkpUaeG7h20gVsOgbmcgw4FuaCBLaW0gOTAgTsO6aSBUaMOgbmgsIEjhuqNpIENow6J1LCDEkMOgIE7hurVuZyDEkMOgIE7hurVuZ1pKIkh0aeG7h20gdsOgbmcgw6FuaCBraW0gOTAgbsO6aSB0aMOgbmggaOG6o2kgY2jDonUgxJHDoCBu4bq1bmcgxJHDoCBu4bq1bmeSAQtzaWx2ZXJzbWl0aJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycE5Na3hYVFhkWFZGcG9VMGh2TkdWR1kzbGxWamwwWXpGck5XSXdSUkFC4AEA-gEECAAQOg!16s%2Fg%2F11bccm0_80?entry=ttu&g_ep=EgoyMDI2MDMxMS4wIKXMDSoASAFQAw%3D%3D",manual,False,2026-03-14 05:14:09
16,Ngọc Thịnh Jewelry,"chỉ: 289 Trưng Nữ Vương, Bình Thuận, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 236 3823 193,,3.8,238,https://ngocthinh-jewelry.vn/,https://www.google.com/maps/place/Ng%E1%BB%8Dc+Th%E1%BB%8Bnh+Jewelry/data=!4m7!3m6!1s0x3142194bb1a9c351:0x81a086532c0f3022!8m2!3d16.0521354!4d108.2174165!16s%2Fg%2F11nfzkxftn!19sChIJUcOpsUsZQjERIjAPLFOGoIE?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:34:24
17,Trang Sức Vàng Bạc Cara Luna Đà Nẵng - 193 Lê Duẩn,"chỉ: 193 Lê Duẩn, Chính Gián, Thanh Khê, Đà Nẵng 551000, Việt Nam",Hải Châu,,,+84 325 228 982,,4.9,193,https://caraluna.vn/,https://www.google.com/maps/place/Trang+S%E1%BB%A9c+V%C3%A0ng+B%E1%BA%A1c+Cara+Luna+%C4%90%C3%A0+N%E1%BA%B5ng+-+193+L%C3%AA+Du%E1%BA%A9n/data=!4m7!3m6!1s0x3142192c50597bcf:0xab7eb111906aa521!8m2!3d16.0700724!4d108.2130971!16s%2Fg%2F11ydmws2d3!19sChIJz3tZUCwZQjERIaVqkBGxfqs?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:34:28
18,DNTN Hiệu vàng Hiep Thanh,"chỉ: 25 Nguyễn Thái Học, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 236 3823 334,,4.1,64,http://hiepthinhjewelry.com/?utm_source=gmb&utm_medium=referral,https://www.google.com/maps/place/DNTN+Hi%E1%BB%87u+v%C3%A0ng+Hiep+Thanh/data=!4m7!3m6!1s0x314218323f93ab81:0xde58a2385aee19be!8m2!3d16.0678629!4d108.2241653!16s%2Fg%2F1tdk_0yc!19sChIJgauTPzIYQjERvhnuWjiiWN4?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:34:33
19,Huy Thanh Jewelry,"chỉ: 276 Nguyễn Văn Linh, Thạc Gián, Thanh Khê, Đà Nẵng 550000, Việt Nam",Thanh Khê,,,+84 236 3747 068,,4.9,1258,http://huythanhjewelry.vn/,https://www.google.com/maps/place/Huy+Thanh+Jewelry/data=!4m7!3m6!1s0x314219b5cd9010d3:0x14b4fae0f63bf3d4!8m2!3d16.0598826!4d108.2088205!16s%2Fg%2F11c3l6hmc0!19sChIJ0xCQzbUZQjER1PM79uD6tBQ?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:34:37
20,Tiệm Vàng Đại Hòa,"chỉ: 129 Trần Phú, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 236 3820 370,,4.5,50,,https://www.google.com/maps/place/Ti%E1%BB%87m+V%C3%A0ng+%C4%90%E1%BA%A1i+H%C3%B2a/data=!4m7!3m6!1s0x3142183246484635:0xa16b94a365ff454b!8m2!3d16.0677083!4d108.2239215!16s%2Fg%2F1vfw99l8!19sChIJNUZIRjIYQjERS0X_ZaOUa6E?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:34:42
21,HIỆU VÀNG KIM YẾN,"chỉ: 122 Bạch Đằng, Hải Châu, Đà Nẵng 550000, Việt Nam",Hải Châu,,,+84 905 500 333,,4.7,237,http://kimcuonggiaredanang.vn/,https://www.google.com/maps/place/HI%E1%BB%86U+V%C3%80NG+KIM+Y%E1%BA%BEN/data=!4m7!3m6!1s0x31421937df834915:0xe0be3114b35225d!8m2!3d16.0679413!4d108.2247839!16s%2Fg%2F11ll28x28n!19sChIJFUmD3zcZQjERXSI1SxHjCw4?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:34:46
22,Tiệm vàng Khải Hoàn III - Exchange Money Here,"chỉ: 63 Nguyễn Duy Hiệu, An Hải Nam, Sơn Trà, Đà Nẵng 550000, Việt Nam",Sơn Trà,,,+84 236 3928 289,,4.5,179,,https://www.google.com/maps/place/Ti%E1%BB%87m+v%C3%A0ng+Kh%E1%BA%A3i+Ho%C3%A0n+III+-+Exchange+Money+Here/data=!4m7!3m6!1s0x3142177dc389bfa9:0x8c1a4cef517d1f5d!8m2!3d16.0559625!4d108.2396408!16s%2Fg%2F11hcjxkfqg!19sChIJqb-Jw30XQjERXR99Ue9MGow?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:34:50
23,Cửa Hàng Trang Sức PNJ 72 Ông Ích Đường Đà Nẵng,"chỉ: 72 Ông Ích Đường, Khuê Trung, Cẩm Lệ, Đà Nẵng 550000, Việt Nam",Cẩm Lệ,,,+84 1800 545457,,4.9,72,https://www.pnj.com.vn/,https://www.google.com/maps/place/C%E1%BB%ADa+H%C3%A0ng+Trang+S%E1%BB%A9c+PNJ+72+%C3%94ng+%C3%8Dch+%C4%90%C6%B0%E1%BB%9Dng+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x31421b146eb21d27:0x1300f8e80996900c!8m2!3d16.0157074!4d108.2049877!16s%2Fg%2F11gpnhx832!19sChIJJx2ybhQbQjERDJCWCej4ABM?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:34:54
24,Hiệu Vàng Trữ,"chỉ: 151 Ông Ích Đường, Khuê Trung, Cẩm Lệ, Đà Nẵng 550000, Việt Nam",Cẩm Lệ,,,,,3.9,18,,https://www.google.com/maps/place/Hi%E1%BB%87u+V%C3%A0ng+Tr%E1%BB%AF/data=!4m7!3m6!1s0x31421a2658e52061:0x85fd13625f9ac3ed!8m2!3d16.0164977!4d108.2049817!16s%2Fg%2F11flt8mnqt!19sChIJYSDlWCYaQjER7cOaX2IT_YU?authuser=0&hl=vi&rclk=1,google_maps,False,2026-03-14 08:34:59
